id_envio,segmento_cliente,assunto_email,abriu,clicou,converteu
ENV0001,Novos,Bem-vindo à nossa loja! 👋,0,0,0
ENV0002,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",1,1,0
ENV0003,Inativos,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0004,Inativos,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0005,VIP,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0006,VIP,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0007,VIP,Confira as novidades da semana! 🚀,1,0,0
ENV0008,Recorrentes,Oferta Exclusiva de Primavera 🌸,1,1,0
ENV0009,Inativos,Confira as novidades da semana! 🚀,1,0,0
ENV0010,Inativos,Confira as novidades da semana! 🚀,1,0,0
ENV0011,VIP,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0012,Recorrentes,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0013,Recorrentes,Bem-vindo à nossa loja! 👋,0,0,0
ENV0014,Novos,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0015,VIP,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0016,VIP,Bem-vindo à nossa loja! 👋,1,0,0
ENV0017,Novos,Bem-vindo à nossa loja! 👋,1,0,0
ENV0018,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0019,Novos,Confira as novidades da semana! 🚀,0,0,0
ENV0020,Novos,Oferta Exclusiva de Primavera 🌸,1,1,0
ENV0021,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0022,VIP,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0023,Novos,Bem-vindo à nossa loja! 👋,0,0,0
ENV0024,Novos,Bem-vindo à nossa loja! 👋,0,0,0
ENV0025,Novos,Confira as novidades da semana! 🚀,1,0,0
ENV0026,Recorrentes,Bem-vindo à nossa loja! 👋,0,0,0
ENV0027,VIP,Bem-vindo à nossa loja! 👋,0,0,0
ENV0028,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0029,Inativos,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0030,VIP,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0031,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0032,VIP,Confira as novidades da semana! 🚀,1,1,0
ENV0033,VIP,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0034,Recorrentes,Bem-vindo à nossa loja! 👋,0,0,0
ENV0035,Recorrentes,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0036,Recorrentes,Bem-vindo à nossa loja! 👋,1,0,0
ENV0037,Novos,Confira as novidades da semana! 🚀,1,1,1
ENV0038,VIP,"Sentimos sua falta, volte com 10% OFF 🎁",1,1,1
ENV0039,Inativos,Oferta Exclusiva de Primavera 🌸,1,1,0
ENV0040,Novos,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0041,VIP,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0042,Novos,Bem-vindo à nossa loja! 👋,1,0,0
ENV0043,VIP,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0044,Recorrentes,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0045,Novos,Bem-vindo à nossa loja! 👋,0,0,0
ENV0046,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",1,1,0
ENV0047,Novos,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0048,Inativos,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0049,Inativos,Oferta Exclusiva de Primavera 🌸,1,1,1
ENV0050,VIP,Oferta Exclusiva de Primavera 🌸,1,1,0
ENV0051,Recorrentes,Bem-vindo à nossa loja! 👋,1,0,0
ENV0052,Recorrentes,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0053,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0054,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0055,Inativos,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0056,Recorrentes,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0057,VIP,Confira as novidades da semana! 🚀,1,0,0
ENV0058,VIP,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0059,VIP,Bem-vindo à nossa loja! 👋,1,0,0
ENV0060,Novos,Confira as novidades da semana! 🚀,0,0,0
ENV0061,Novos,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0062,Novos,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0063,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0064,Novos,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0065,Novos,Bem-vindo à nossa loja! 👋,1,1,1
ENV0066,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",1,1,0
ENV0067,VIP,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0068,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0069,VIP,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0070,Recorrentes,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0071,Recorrentes,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0072,VIP,Bem-vindo à nossa loja! 👋,0,0,0
ENV0073,VIP,Bem-vindo à nossa loja! 👋,0,0,0
ENV0074,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0075,Inativos,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0076,Inativos,Oferta Exclusiva de Primavera 🌸,1,1,0
ENV0077,Recorrentes,Bem-vindo à nossa loja! 👋,0,0,0
ENV0078,VIP,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0079,Novos,Bem-vindo à nossa loja! 👋,1,1,0
ENV0080,VIP,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0081,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0082,Inativos,Oferta Exclusiva de Primavera 🌸,1,1,0
ENV0083,Novos,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0084,VIP,Confira as novidades da semana! 🚀,0,0,0
ENV0085,Novos,Bem-vindo à nossa loja! 👋,1,0,0
ENV0086,Novos,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0087,Inativos,Oferta Exclusiva de Primavera 🌸,1,1,0
ENV0088,Inativos,Confira as novidades da semana! 🚀,0,0,0
ENV0089,Recorrentes,Confira as novidades da semana! 🚀,1,1,0
ENV0090,Novos,Bem-vindo à nossa loja! 👋,1,1,0
ENV0091,VIP,Confira as novidades da semana! 🚀,0,0,0
ENV0092,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",1,1,1
ENV0093,Recorrentes,Confira as novidades da semana! 🚀,0,0,0
ENV0094,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0095,Recorrentes,Bem-vindo à nossa loja! 👋,0,0,0
ENV0096,Novos,Bem-vindo à nossa loja! 👋,1,1,1
ENV0097,Inativos,Bem-vindo à nossa loja! 👋,0,0,0
ENV0098,Novos,Bem-vindo à nossa loja! 👋,1,0,0
ENV0099,VIP,Bem-vindo à nossa loja! 👋,1,1,0
ENV0100,VIP,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0101,VIP,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0102,Inativos,Bem-vindo à nossa loja! 👋,1,1,0
ENV0103,Novos,Confira as novidades da semana! 🚀,0,0,0
ENV0104,Inativos,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0105,Recorrentes,Bem-vindo à nossa loja! 👋,0,0,0
ENV0106,Novos,Confira as novidades da semana! 🚀,0,0,0
ENV0107,Novos,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0108,Recorrentes,Bem-vindo à nossa loja! 👋,1,1,0
ENV0109,Novos,Bem-vindo à nossa loja! 👋,1,0,0
ENV0110,VIP,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0111,Novos,Oferta Exclusiva de Primavera 🌸,1,1,0
ENV0112,VIP,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0113,Recorrentes,Confira as novidades da semana! 🚀,1,0,0
ENV0114,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0115,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0116,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",1,1,0
ENV0117,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0118,VIP,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0119,Recorrentes,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0120,Inativos,Bem-vindo à nossa loja! 👋,1,1,0
ENV0121,Recorrentes,Bem-vindo à nossa loja! 👋,0,0,0
ENV0122,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0123,Novos,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0124,VIP,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0125,Novos,Bem-vindo à nossa loja! 👋,0,0,0
ENV0126,Novos,Confira as novidades da semana! 🚀,0,0,0
ENV0127,Recorrentes,Confira as novidades da semana! 🚀,1,1,0
ENV0128,Recorrentes,Bem-vindo à nossa loja! 👋,1,1,0
ENV0129,VIP,Bem-vindo à nossa loja! 👋,0,0,0
ENV0130,Inativos,Bem-vindo à nossa loja! 👋,0,0,0
ENV0131,Novos,Bem-vindo à nossa loja! 👋,0,0,0
ENV0132,Novos,Bem-vindo à nossa loja! 👋,1,0,0
ENV0133,VIP,Bem-vindo à nossa loja! 👋,0,0,0
ENV0134,Novos,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0135,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0136,Novos,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0137,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",1,1,0
ENV0138,Inativos,Bem-vindo à nossa loja! 👋,0,0,0
ENV0139,Novos,Confira as novidades da semana! 🚀,0,0,0
ENV0140,Recorrentes,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0141,Recorrentes,Bem-vindo à nossa loja! 👋,1,0,0
ENV0142,Novos,Oferta Exclusiva de Primavera 🌸,1,1,0
ENV0143,Novos,Confira as novidades da semana! 🚀,1,1,1
ENV0144,Novos,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0145,Novos,Confira as novidades da semana! 🚀,1,1,0
ENV0146,VIP,Bem-vindo à nossa loja! 👋,0,0,0
ENV0147,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0148,Inativos,Bem-vindo à nossa loja! 👋,1,0,0
ENV0149,VIP,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0150,Novos,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0151,Recorrentes,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0152,Novos,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0153,VIP,Confira as novidades da semana! 🚀,0,0,0
ENV0154,Novos,Bem-vindo à nossa loja! 👋,1,1,0
ENV0155,Recorrentes,Confira as novidades da semana! 🚀,1,0,0
ENV0156,Novos,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0157,Inativos,Bem-vindo à nossa loja! 👋,1,0,0
ENV0158,Recorrentes,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0159,Novos,Confira as novidades da semana! 🚀,0,0,0
ENV0160,Inativos,Confira as novidades da semana! 🚀,0,0,0
ENV0161,Novos,Confira as novidades da semana! 🚀,1,0,0
ENV0162,Inativos,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0163,Inativos,Bem-vindo à nossa loja! 👋,1,1,0
ENV0164,Inativos,Bem-vindo à nossa loja! 👋,1,1,0
ENV0165,VIP,Oferta Exclusiva de Primavera 🌸,1,1,1
ENV0166,Recorrentes,Bem-vindo à nossa loja! 👋,1,0,0
ENV0167,Novos,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0168,VIP,Bem-vindo à nossa loja! 👋,1,0,0
ENV0169,VIP,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0170,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0171,Inativos,Confira as novidades da semana! 🚀,1,1,0
ENV0172,VIP,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0173,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",1,1,1
ENV0174,Novos,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0175,Inativos,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0176,VIP,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0177,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0178,Novos,Confira as novidades da semana! 🚀,1,1,0
ENV0179,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0180,VIP,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0181,Novos,Bem-vindo à nossa loja! 👋,0,0,0
ENV0182,VIP,Confira as novidades da semana! 🚀,1,1,0
ENV0183,Recorrentes,Confira as novidades da semana! 🚀,1,1,1
ENV0184,Recorrentes,Confira as novidades da semana! 🚀,1,0,0
ENV0185,Novos,Confira as novidades da semana! 🚀,0,0,0
ENV0186,Inativos,Confira as novidades da semana! 🚀,0,0,0
ENV0187,Recorrentes,Confira as novidades da semana! 🚀,0,0,0
ENV0188,Inativos,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0189,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0190,Novos,Confira as novidades da semana! 🚀,1,0,0
ENV0191,VIP,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0192,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",1,1,0
ENV0193,Recorrentes,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0194,Inativos,Confira as novidades da semana! 🚀,1,1,0
ENV0195,Novos,Bem-vindo à nossa loja! 👋,0,0,0
ENV0196,Novos,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0197,Inativos,Bem-vindo à nossa loja! 👋,0,0,0
ENV0198,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",1,1,0
ENV0199,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",1,1,0
ENV0200,Recorrentes,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0201,Inativos,Oferta Exclusiva de Primavera 🌸,1,1,1
ENV0202,VIP,Bem-vindo à nossa loja! 👋,1,1,0
ENV0203,VIP,Confira as novidades da semana! 🚀,0,0,0
ENV0204,Recorrentes,Bem-vindo à nossa loja! 👋,1,0,0
ENV0205,Inativos,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0206,VIP,Bem-vindo à nossa loja! 👋,0,0,0
ENV0207,VIP,Oferta Exclusiva de Primavera 🌸,1,1,0
ENV0208,Inativos,Bem-vindo à nossa loja! 👋,0,0,0
ENV0209,VIP,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0210,VIP,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0211,Inativos,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0212,Inativos,Confira as novidades da semana! 🚀,1,1,0
ENV0213,Inativos,Bem-vindo à nossa loja! 👋,0,0,0
ENV0214,Novos,Bem-vindo à nossa loja! 👋,0,0,0
ENV0215,Inativos,Bem-vindo à nossa loja! 👋,0,0,0
ENV0216,Novos,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0217,Novos,Bem-vindo à nossa loja! 👋,1,0,0
ENV0218,Inativos,Bem-vindo à nossa loja! 👋,0,0,0
ENV0219,Inativos,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0220,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",1,1,0
ENV0221,Inativos,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0222,Inativos,Bem-vindo à nossa loja! 👋,1,0,0
ENV0223,VIP,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0224,Novos,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0225,Novos,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0226,Novos,Bem-vindo à nossa loja! 👋,0,0,0
ENV0227,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0228,Novos,Confira as novidades da semana! 🚀,0,0,0
ENV0229,Recorrentes,Bem-vindo à nossa loja! 👋,1,0,0
ENV0230,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0231,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0232,Inativos,Confira as novidades da semana! 🚀,1,1,0
ENV0233,Inativos,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0234,Novos,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0235,VIP,Bem-vindo à nossa loja! 👋,1,0,0
ENV0236,Inativos,Confira as novidades da semana! 🚀,1,1,0
ENV0237,Novos,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0238,VIP,Confira as novidades da semana! 🚀,1,1,0
ENV0239,Inativos,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0240,VIP,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0241,Recorrentes,Oferta Exclusiva de Primavera 🌸,1,1,1
ENV0242,Recorrentes,Confira as novidades da semana! 🚀,1,0,0
ENV0243,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0244,Novos,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0245,VIP,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0246,Recorrentes,Confira as novidades da semana! 🚀,0,0,0
ENV0247,Novos,Bem-vindo à nossa loja! 👋,1,0,0
ENV0248,Recorrentes,Bem-vindo à nossa loja! 👋,0,0,0
ENV0249,Recorrentes,Bem-vindo à nossa loja! 👋,1,0,0
ENV0250,Recorrentes,Confira as novidades da semana! 🚀,1,0,0
ENV0251,Novos,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0252,Novos,Bem-vindo à nossa loja! 👋,1,0,0
ENV0253,Recorrentes,Confira as novidades da semana! 🚀,1,1,0
ENV0254,Novos,Bem-vindo à nossa loja! 👋,1,0,0
ENV0255,VIP,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0256,Inativos,Bem-vindo à nossa loja! 👋,1,1,0
